rank,trial_id,score,learning_rate,batch_size,dropout_rate,filters_start,optimizer
1,01,1.1437054872512817,0.001,64,0.3,32,adam
2,00,1.209856390953064,0.001,32,0.4,32,rmsprop
3,03,1.2629977464675903,0.01,64,0.3,32,sgd
4,09,1.2988225221633911,0.01,64,0.3,32,adam
5,05,1.34275221824646,0.01,128,0.5,64,adam
6,06,1.3696259260177612,0.01,32,0.5,32,sgd
7,04,1.420084834098816,0.0001,64,0.4,32,adam
8,02,1.45127272605896,0.0001,64,0.5,32,rmsprop
9,08,1.6333346366882324,0.01,64,0.5,32,rmsprop
10,07,1.7731963396072388,0.0001,128,0.3,32,sgd
